區域,類別,子類別,加總 - 銷售額,加總 - 利潤,加總 - 數量
大洋洲,技術,複製器," 163,208 "," 21,597 ", 808 
大洋洲,技術,電話," 126,334 "," 21,477 ", 815 
大洋洲,技術,配件," 66,543 "," 7,702 ", 916 
大洋洲,技術,機器," 51,918 "," 3,958 ", 367 
大洋洲,傢具,椅子," 170,284 "," 15,028 "," 1,119 "
大洋洲,傢具,書架," 144,836 "," 13,389 ", 700 
大洋洲,傢具,桌子," 66,831 ", (230), 181 
大洋洲,傢具,用具," 28,517 "," 3,862 ", 728 
大洋洲,辦公用品,器具," 101,550 "," 12,444 ", 444 
大洋洲,辦公用品,儲存具," 65,161 "," 7,706 ", 882 
大洋洲,辦公用品,用品," 24,088 "," 2,286 ", 873 
大洋洲,辦公用品,繫結器," 19,823 "," 2,728 "," 1,072 "
大洋洲,辦公用品,紙張," 19,608 "," 2,693 ", 832 
大洋洲,辦公用品,美術," 19,425 "," 2,255 ", 767 
大洋洲,辦公用品,信封," 15,658 "," 1,262 ", 708 
大洋洲,辦公用品,系固件," 8,849 ", 774 , 733 
大洋洲,辦公用品,標籤," 7,552 "," 1,158 ", 893 
