區域,類別,子類別,加總 - 銷售額,加總 - 利潤,加總 - 數量
東南亞,技術,電話," 124,434 "," 13,452 ", 715 
東南亞,技術,複製器," 116,944 "," 11,356 ", 629 
東南亞,技術,機器," 51,593 "," 4,783 ", 427 
東南亞,技術,配件," 36,780 "," (8,642)", 696 
東南亞,傢具,椅子," 122,681 "," 3,230 "," 1,030 "
東南亞,傢具,書架," 109,448 "," 6,698 ", 586 
東南亞,傢具,桌子," 52,455 "," (18,618)", 224 
東南亞,傢具,用具," 28,491 "," 1,452 ", 787 
東南亞,辦公用品,器具," 94,542 "," 10,557 ", 387 
東南亞,辦公用品,儲存具," 63,548 "," 2,418 ", 981 
東南亞,辦公用品,繫結器," 16,742 "," 2,395 "," 1,018 "
東南亞,辦公用品,美術," 16,312 "," (1,187)", 699 
東南亞,辦公用品,用品," 15,725 "," (4,034)", 762 
東南亞,辦公用品,信封," 11,691 "," (1,641)", 675 
東南亞,辦公用品,紙張," 11,383 "," (1,859)", 642 
東南亞,辦公用品,系固件," 6,250 "," (1,602)", 722 
東南亞,辦公用品,標籤," 5,088 ", (870), 838 
