發生地點,發生時間點,行政區,車種,受傷人數,緯度,經度
臺北市中正區羅斯福路3段 / 臺北市中正區辛亥路1段,2020/6/18 上午 10:10:00,中正區,自用-小貨車(含客、貨兩用);普通重型-機車,1,25.019748,121.528932
臺北市中正區羅斯福路3段 / 臺北市中正區辛亥路1段,2020/2/28 下午 05:56:00,中正區,普通重型-機車;普通重型-機車,1,25.019831,121.529049
臺北市中正區羅斯福路3段 / 臺北市中正區辛亥路1段,2020/6/28 下午 12:00:00,中正區,自用-小客車;普通重型-機車,1,25.019883,121.529136
臺北市中正區羅斯福路3段 / 臺北市中正區辛亥路1段,2020/3/5 下午 06:42:00,中正區,普通重型-機車;普通輕型-機車;乘客-人,1,25.019924,121.529006
臺北市中正區羅斯福路3段 / 臺北市中正區辛亥路1段口,2020/9/4 上午 11:45:00,中正區,普通重型-機車;自用-小客車,1,25.019772,121.529077
臺北市中正區羅斯福路3段 / 臺北市中正區新生南路3段,2020/11/18 上午 12:05:00,中正區,普通重型-機車;腳踏自行車-慢車;乘客-人,3,25.016039,121.532916
臺北市中正區羅斯福路3段 / 臺北市中正區新生南路3段,2020/1/14 下午 03:25:00,中正區,普通重型-機車;自用-小客車,1,25.016296,121.532608
臺北市中正區羅斯福路3段 / 臺北市中正區新生南路3段,2020/11/10 下午 08:00:00,中正區,普通重型-機車;腳踏自行車-慢車,2,25.016322,121.532696
臺北市中正區羅斯福路3段 / 臺北市中正區新生南路3段,2020/3/3 下午 02:35:00,中正區,自用-小貨車(含客、貨兩用);自用-小客車;普通重型-機車;自用-小客車;乘客-人,2,25.016338,121.532519
臺北市中正區羅斯福路3段 / 臺北市中正區新生南路3段,2020/1/16 下午 04:18:00,中正區,普通重型-機車;普通重型-機車,2,25.016357,121.5325
臺北市中正區羅斯福路3段150號前0.0公尺,2020/6/5 上午 08:22:00,中正區,腳踏自行車-慢車,1,25.020078,121.528728
臺北市中正區羅斯福路3段168號前0.0公尺,2020/12/9 下午 06:50:00,中正區,普通重型-機車;普通重型-機車;乘客-人,1,25.020048,121.528791
臺北市中正區羅斯福路3段242號前0.0公尺,2020/12/16 上午 05:33:00,中正區,普通重型-機車;行人-人,1,25.017752,121.531194
臺北市中正區羅斯福路3段272號前0.0公尺,2020/11/2 下午 03:27:00,中正區,普通重型-機車;普通重型-機車;自用-小客車,1,25.017538,121.531429
臺北市中正區羅斯福路3段50號前0.0公尺,2020/5/21 下午 12:35:00,中正區,自用-小客車;普通重型-機車,1,25.022825,121.525552
臺北市中正區羅斯福路3段8號前0.0公尺,2020/12/7 下午 01:20:00,中正區,腳踏自行車-慢車;行人-人,1,25.023496,121.52498
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2020/5/18 下午 10:20:00,中正區,腳踏自行車-慢車,1,25.011208,121.536798
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2020/3/6 下午 04:47:00,中正區,普通輕型-機車;普通重型-機車,1,25.011218,121.536897
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2020/3/9 下午 03:00:00,中正區,普通重型-機車;普通重型-機車,2,25.011268,121.536924
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2020/5/30 下午 05:51:00,中正區,普通重型-機車;普通重型-機車,1,25.011273,121.536992
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2020/8/14 下午 06:20:00,中正區,自用-小客車;普通重型-機車,1,25.011302,121.536987
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2020/11/12 下午 03:10:00,中正區,普通重型-機車;普通重型-機車;計程車-小客車,1,25.011332,121.536964
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段,2020/8/17 上午 09:41:00,中正區,普通重型-機車;普通重型-機車,2,25.011421,121.536921
臺北市中正區羅斯福路4段 / 臺北市中正區基隆路4段口,2020/10/23 上午 11:18:00,中正區,普通重型-機車;普通重型-機車,1,25.011318,121.536941
臺北市中正區羅斯福路4段 / 臺北市中正區羅斯福路4段,2020/1/21 下午 10:41:00,中正區,腳踏自行車-慢車,1,25.011854,121.536581
臺北市中正區羅斯福路4段 / 臺北市中正區羅斯福路4段,2020/4/1 下午 03:20:00,中正區,自用-小貨車(含客、貨兩用);普通重型-機車,1,25.013506,121.53546
臺北市中正區羅斯福路4段 / 臺北市中正區羅斯福路4段,2020/10/8 下午 06:00:00,中正區,計程車-小客車;行人-人,1,25.013891,121.534915
臺北市中正區羅斯福路4段 / 臺北市中正區羅斯福路4段,2020/9/6 下午 09:00:00,中正區,普通重型-機車;大型重型2(250-550C.C.)-機車;乘客-人,2,25.013978,121.534959
臺北市中正區羅斯福路4段 / 臺北市中正區羅斯福路4段,2020/1/10 下午 03:35:00,中正區,普通重型-機車;普通重型-機車,1,25.015582,121.533287
臺北市中正區羅斯福路4段 / 臺北市中正區羅斯福路4段,2020/3/30 上午 10:09:00,中正區,普通重型-機車;普通重型-機車,1,25.015624,121.533262
臺北市中正區羅斯福路4段 / 臺北市中正區羅斯福路4段口,2020/9/6 下午 12:25:00,中正區,普通重型-機車;普通重型-機車,1,25.011865,121.536648
臺北市中正區羅斯福路4段 / 臺北市中正區羅斯福路4段口,2020/8/3 上午 08:01:00,中正區,普通重型-機車;普通重型-機車,2,25.013956,121.535002
臺北市中正區羅斯福路4段 / 臺北市中正區羅斯福路4段口,2020/12/22 下午 08:40:00,中正區,大型重型1(550C.C.以上)-機車;普通重型-機車,1,25.015604,121.533291
臺北市中正區羅斯福路4段 / 臺北市中正區汀州路3段,2020/6/16 下午 07:30:00,中正區,普通輕型-機車;普通重型-機車,2,25.011578,121.535981
臺北市中正區羅斯福路4段 / 臺北市中正區汀州路3段,2020/3/5 下午 04:02:00,中正區,自用-小客車;普通重型-機車;乘客-人,1,25.012598,121.535266
