年份,月份,類別,區段,合計
2018,1,技術,公司,2225
2018,1,技術,消費者,602
2018,1,技術,總公司,925
2018,1,傢具,公司,710
2018,1,傢具,消費者,4106
2018,1,傢具,總公司,1680
2018,1,辦公用品,公司,2648
2018,1,辦公用品,消費者,2552
2018,1,辦公用品,總公司,2311
2018,2,技術,公司,2703
2018,2,技術,消費者,2142
2018,2,傢具,公司,9010
2018,2,傢具,消費者,3698
2018,2,傢具,總公司,397
2018,2,辦公用品,公司,1720
2018,2,辦公用品,消費者,1572
2018,2,辦公用品,總公司,819
2018,3,技術,公司,1641
2018,3,技術,消費者,1158
2018,3,技術,總公司,747
2018,3,傢具,公司,2577
2018,3,傢具,消費者,888
2018,3,傢具,總公司,824
2018,3,辦公用品,公司,1308
2018,3,辦公用品,消費者,6347
2018,3,辦公用品,總公司,1678
2018,4,技術,公司,3356
2018,4,技術,消費者,4115
2018,4,技術,總公司,1158
2018,4,傢具,公司,1283
2018,4,傢具,消費者,5625
2018,4,傢具,總公司,416
2018,4,辦公用品,公司,5884
2018,4,辦公用品,消費者,4801
2018,4,辦公用品,總公司,2229
2018,5,技術,公司,4648
2018,5,技術,消費者,3302
2018,5,技術,總公司,58
2018,5,傢具,公司,1437
2018,5,傢具,消費者,6105
2018,5,傢具,總公司,977
2018,5,辦公用品,公司,7054
2018,5,辦公用品,消費者,5015
2018,5,辦公用品,總公司,1533
2018,6,技術,公司,6781
2018,6,技術,消費者,8902
2018,6,技術,總公司,2335
2018,6,傢具,公司,5543
2018,6,傢具,消費者,8555
2018,6,傢具,總公司,2504
2018,6,辦公用品,公司,7599
2018,6,辦公用品,消費者,7495
2018,6,辦公用品,總公司,2845
2018,7,技術,公司,2745
2018,7,技術,消費者,4396
2018,7,技術,總公司,2598
2018,7,傢具,公司,601
2018,7,傢具,消費者,931
2018,7,傢具,總公司,542
2018,7,辦公用品,公司,2074
2018,7,辦公用品,消費者,3788
2018,7,辦公用品,總公司,171
2018,8,技術,公司,6649
2018,8,技術,消費者,15003
2018,8,技術,總公司,1322
2018,8,傢具,公司,2395
2018,8,傢具,消費者,10592
2018,8,傢具,總公司,291
2018,8,辦公用品,公司,3903
2018,8,辦公用品,消費者,12721
2018,8,辦公用品,總公司,1242
2018,9,技術,公司,5763
2018,9,技術,消費者,14928
2018,9,技術,總公司,1478
2018,9,傢具,公司,3106
2018,9,傢具,消費者,8317
2018,9,傢具,總公司,2671
2018,9,辦公用品,公司,8974
2018,9,辦公用品,消費者,20040
2018,9,辦公用品,總公司,5478
2018,10,技術,公司,337
2018,10,技術,消費者,2292
2018,10,技術,總公司,1954
2018,10,傢具,公司,366
2018,10,傢具,消費者,6024
2018,10,傢具,總公司,1428
2018,10,辦公用品,公司,2380
2018,10,辦公用品,消費者,2841
2018,10,辦公用品,總公司,2101
2018,11,技術,公司,3654
2018,11,技術,消費者,12441
2018,11,技術,總公司,5017
2018,11,傢具,公司,2976
2018,11,傢具,消費者,8789
2018,11,傢具,總公司,1567
2018,11,辦公用品,公司,1833
2018,11,辦公用品,消費者,16557
2018,11,辦公用品,總公司,2912
2018,12,技術,公司,8668
2018,12,技術,消費者,13239
